ObjectId,Data_Set_Name,Brief_Description_of_Data,Data_Source,Home_Department,Home_Department_Division,Data_Steward__Business__Name,Data_Custodian__Technical__Name,Data_Classification,Data_Format,Frequency_of_Data_Change,Time_Span,Geographic_Coverage,Geographic_Granularity,Link_to_Existing_Publication
1,Meter,"Meter Information, location type, rates etc",Meter Bagging,Parking Authority Of River City,Unspecified,Not listed,Not listed,Public,Access Consolidated Database,Continuous,Unknown,Citywide,Not applicable,No link available
2,Property Maintenance Cases,No description provided,Hansen 8,Codes & Regulations,Property Maintenance Division,Benjamin Anderson,Not listed,Public,Csv File,Not updated (historical only),5 Years,Citywide,Latitude/longitude;#Street address,https://data.louisvilleky.gov/dataset/property-maintenance-case-inspections//
3,Order Meter,Data on orders with meter information,Meter Bagging,Parking Authority Of River City,Unspecified,Not listed,Not listed,Public,Access Consolidated Database,Continuous,2007 to present,Citywide,Not applicable,No link available
4,Meter Order Summary,​Order centric data for Meter Bagging,Unknown,Parking Authority Of River City,On Street,Not listed,Not listed,Public,Unknown,Continuous,2007 to present,Citywide,Not applicable,No link available
5,Passport Transaction Detail,No description provided,Passport (Go502),Parking Authority Of River City,Unspecified,Not listed,Not listed,Internal,Excel Spread Sheets,Continuous,Unknown,Citywide,Not applicable,No link available
6,Palm Audit Data,​Information on collections for Palm meters. Cash only,Palm,Parking Authority Of River City,Unspecified,Not listed,Not listed,Public,Csv File,Continuous,Unknown,Citywide,Not applicable,No link available
7,Hub Revenue,​Revenue information for garage transients(ticket based transactions),Hub,Parking Authority Of River City,Unspecified,Not listed,Not listed,Internal,Text File Delimited,Continuous,Updated per transaction,Citywide,Not applicable,No link available
8,Ballparc,​Data concerning sales for events.,Ballparc,Parking Authority Of River City,Unspecified,Not listed,Not listed,Internal,Other,Continuous,Unknown,Citywide,Not applicable,No link available
9,Umojo Daily Activity,​Details on call activity for Parc Operations Command,Umojo,Parking Authority Of River City,Unspecified,Not listed,Not listed,Internal,Excel Spread Sheets,Continuous,2018-Today,Citywide,Not applicable,No link available
10,Restaurant Inspection Data,"​Restaurant inspection dates, grades, scores and locations for the past year  for all establishments.​",Ehmis-Environmental Health Management Information System,Public Health & Wellness,Environmental Services,Kelly Monahan,Gerald Kaforski,Public,Flat File,Monthly,Unknown,Citywide,Latitude/longitude,https://data.louisvilleky.gov/dataset/restaurant-inspection-data/
11,Inspection Results Food Service Establishments,​List of permitted food service establishments with last three score and letter grade results if applicable.,Ehmis-Environmental Health Management Information System,Public Health & Wellness,Environmental Services,Kelly Monahan,Gerald Kaforski,Public,Csv File,Quarterly,Unknown,Citywide,Street address,https://data.louisvilleky.gov/dataset/environmental-health-inspection-results
12,Inspection Results Pools,​List of permitted swimming facilities with last 3 scores of recent inspections,Ehmis-Environmental Health Management Information System,Public Health & Wellness,Environmental Services,Kelly Monahan,Gerald Kaforski,Public,Csv File,Quarterly,Unknown,Citywide,Street address,https://data.louisvilleky.gov/dataset/environmental-health-inspection-results
13,Inspection Results Public Facility Establishments,​List of permitted public facility establishments with last three recent inspection scores,Ehmis-Environmental Health Management Information System,Public Health & Wellness,Environmental Services,Kelly Monahan,Gerald Kaforski,Public,Csv File,Quarterly,Unknown,Citywide,Street address,https://data.louisvilleky.gov/dataset/environmental-health-inspection-results
14,Inspection Results School Food Service,​List of subset of food service facilities (school food service) with 3 recent inspection scores and grades,Ehmis-Environmental Health Management Information System,Public Health & Wellness,Environmental Services,Kelly Monahan,Gerald Kaforski,Public,Csv File,Quarterly,Unknown,Citywide,Street address,https://data.louisvilleky.gov/dataset/environmental-health-inspection-results
15,Inspection Violations of Failed Restaurants,​List of violations from Restaurants that failed an inspection,Ehmis-Environmental Health Management Information System,Public Health & Wellness,Environmental Services,Kelly Monahan,Gerald Kaforski,Public,Csv File,Quarterly,Unknown,Citywide,Street address,https://data.louisvilleky.gov/dataset/environmental-health-inspection-results
16,Permitted Body Ear Pierce Tattoo Studios,​A list of current subject permitted facilities,Ehmis-Environmental Health Management Information System,Public Health & Wellness,Environmental Services,Kelly Monahan,Gerald Kaforski,Public,Csv File,Quarterly,Unknown,Citywide,Street address,https://data.louisvilleky.gov/dataset/environmental-health-permitted-establishments-lists
17,Permitted Food Service Establishments,​A list of currently permitted food service establishments,Ehmis-Environmental Health Management Information System,Public Health & Wellness,Environmental Services,Kelly Monahan,Gerald Kaforski,Public,Csv File,Quarterly,Unknown,Citywide,Street address,https://data.louisvilleky.gov/dataset/environmental-health-permitted-establishments-lists
18,Permitted Food Service Types with Subtypes,​List of subject information.  For reference when working with other Public Health Food Service Establishment datasets.,Ehmis-Environmental Health Management Information System,Public Health & Wellness,Environmental Services,Kelly Monahan,Gerald Kaforski,Public,Csv File,Continuous,Unknown,Other,Not applicable,https://data.louisvilleky.gov/dataset/environmental-health-permitted-establishments-lists
19,Permtted Hotels Motels,​List of currently permitted Hotels and Motels,Ehmis-Environmental Health Management Information System,Public Health & Wellness,Environmental Services,Kelly Monahan,Gerald Kaforski,Public,Csv File,Quarterly,Unknown,Citywide,Street address,https://data.louisvilleky.gov/dataset/environmental-health-permitted-establishments-lists
20,Permitted Mobile Home Rec Vehicle Parks,​A list of currently permitted mobile home and recreational vehicle parks,Ehmis-Environmental Health Management Information System,Public Health & Wellness,Environmental Services,Kelly Monahan,Gerald Kaforski,Public,Csv File,Quarterly,Unknown,Citywide,Street address,https://data.louisvilleky.gov/dataset/environmental-health-permitted-establishments-lists
