ID,samplegroup,SurveyLanguage,Q1,Q2r1,Q2r2,Q2r3,Q2r4,Q2r5,Q2r6,Q1_Q2,Q3,Q4HaveSum,Q4OwnSum,Q4BorrowSum,DevicesOwnsLessHH,DevicesTotalLessHH,Q4_1tot,Q4_2tot,Q4_3tot,Q4_4tot,Q4r1c1,Q4r1c2,Q4r2c1,Q4r2c2,Q4r3c1,Q4r3c2,Q4r4c1,Q4r4c2,noanswerQ4_r5,Q5Ar1,Q5Ar2,Q5Ar3,Q5Ar4,Q5Ar5,Q5Ar6,Q5Ar7,Q5Ar10,Q5Ar11,Q5Ar12,Q5ASum,Q5Acount,Q5Ar4oe,Q5Ar5oe,Q5Br1c1,Q5Br2c1,Q5Br3c1,Q5Br4c1,Q5Br5c1,q5bSum,Q5B_annual,AnnualIncomeInternetPerct,Q5BBr1c1,Q5BBr2c1,Q5BBr3c1,Q5BBr4c1,Q5BBr5c1,Q5Cr1,Q5Cr2,Q5Cr3,Q5Cr4,Q5Cr5,Q6,Q7,Q8,Q9,q9r5oe,Q10r1,Q10r2,Q10r3,Q10r4,Q10r5,Q10r6,Q10r7,Q10r8,Q10r9,Q10r10,Q10r11,Q10r12,Q10r13,Q11r1,Q11r3,Q11r5,Q11r7,Q11r9,Q12,Q13r1,Q13r2,Q13r3,Q13r4,Q13r5,Q13r6,Q13r7,Q13r8,Q13r9,Q13r10,Q13r11,q13r9oe,Q14r1,Q14r2,Q14r3,Q14r4,Q14r5,Q14r6,Q14r7,Q14r8,Q14r9,Q14r10,q14r8oe,Q15ar1,Q15ar2,Q15ar3,Q15ar4,Q15ar5,Q15ar6,Q15ar7,Q15ar8,Q15ar9,Q15ar10,Q15ar11,Q15ar12,Q15ar13,Q15ar14,Q15ar15,Q15ar16,Q15ar17,Q15ar18,Q15ar19,Q15ar20,Q15sum,Q16,Q17r1,Q17r2,Q17r3,Q17r4,Q17r5,Q17r6,Q17r7,Q17r8,Q17r9,Q17r10,Q17r11,Q17r12,Q17r13,Q17r14,Q17r15,Q17r16,Q17r17,Q18,Q19r1,Q19r2,Q19r3,Q19r4,Q19r5,Q19r6,Q19r7,Q19r8,Q19r9,Q19r10,Q19r11,q19r11oe,Q19count,TrainingInterest,Q20,Q21r1,Q21r2,Q21r3,Q21r4,Q21r5,Q21r6,Q21r7,Q21r8,Q21r9,Q22r1,Q22r2,Q22r3,Q22r4,Q22r5,Q22r6,Q22r7,Q23,Q24,Q25,Q26r1,Q26r2,Q26r3,Q26r4,Q26r5,Q26r6,Q26r7,Q26r8,Q26r9,Q26r10,Q26r11,Q26r12,q26r10oe,HHSIZE,ADULTHH,Child4to17HH,KIDS,Q27r1c1,Q27r2c1,Q27r3c1,Q27br1c1,Q27br2c1,Q27br3c1,Q28r1c1,Q28r2c1,Q28r3c1,Q28r4c1,Q28r5c1,Q28r6c1,Q28br1c1,Q28br1c2,Q28br1c3,Q28br1c4,Q28br2c1,Q28br2c2,Q28br2c3,Q28br2c4,Q28br3c1,Q28br3c2,Q28br3c3,Q28br3c4,Q28br4c1,Q28br4c2,Q28br4c3,Q28br4c4,Q28br5c1,Q28br5c2,Q28br5c3,Q28br5c4,Q28br6c1,Q28br6c2,Q28br6c3,Q28br6c4,SPSOnly,OtherOnly,SPS_Other,SPSkids,Q29r1,noanswerQ29_r2,Age_range3,Age_range4,Age_range7,Age_rangeGen,Age_range15,Age_range7v2,Q30r1,Q30r2,Q30r3,Q30r4,Q30r5,Q30r6,Q30r4oe,Q31,Q31_avg,INCOME,FPL135,FPL150,FPL200,FPL400,FPL500,FPL600,FPL700,FPL800,Q32,Ethnicitycnt,BIPOC,Ethnicity,Q33r1,Q33r2,Q33r3,Q33r4,Q33r5,Q33r6,Q33r7,Q33r8,Q33r9,Q33r7oe,Q34r1,Q34r2,Q34r3,Q34r4,Q34r5,Q34r6,Q34r7,Q34r8,q34r6oe,Q35,Q35r3oe,Q35A,Q36r1,Q36r2,Q36r3,Q36r4,Q36r5,Q36r6,Q36r7,Q36r8,Q36r9,Q36r10,Q36r8oe,Q37,Q38,Q38r10oe,Q39,Education,Q40,Q41,ZIPCode,Tract,CD,RSEindex,Segment,basicskills,setupskills,securityskills,collabskills,fullskills,q15summarygroups,DigitalOpportunityScore,Device,Access,Skills,WEIGHT_HH,WEIGHT_INDIV
100044,1,1,1,0,1,0,0,0,0,1,2,8,8,0,0,0,2,2,2,2,2,0,2,0,2,0,2,0,,0,1,0,0,0,0,0,0,0,0,2,1,,,,100,,,,100,1200,,0,0,0,0,0,,1,,,,2,4,4,2,,1,0,0,0,0,0,0,1,1,0,0,0,0,2,1,1,1,1,2,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,1,,,1,2,1,1,1,2,2,2,2,2,1,1,2,2,1,1,1,1,1,,11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,1,1,3,1,,,3,1,1,1,2,2,4,1,3,1,3,4,1,1,1,0,1,0,0,2,3,1,1,1,0,0,1,0,0,1,0,0,0,0,,2,2,,2,0,0,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,2,68,,3,4,5,4,10,6,0,0,0,0,1,0,,16,,,,,,,,,,,2,1,1,6,0,0,0,0,0,1,0,0,0,,1,0,0,0,0,0,0,0,,1,,,0,0,0,0,1,0,0,0,,0,,2,1,,2,5,7,,98136,10502,1,3,6,1,1,1,1,1,2,0,0,0,0,0.01,0.01
100158,3,3,1,0,1,0,0,0,0,1,2,9,9,0,0,0,2,2,1,4,2,0,2,0,1,0,4,0,,0,1,0,1,0,0,0,0,0,0,1,2,T-MOBILE,,,25,,0,,25,300,0.338983051,0,0,0,1,0,,2,,1,,2,2,1,4,,1,1,0,0,0,0,0,0,0,1,0,0,0,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,1,,,1,1,2,2,1,2,2,2,2,2,2,1,2,2,2,1,1,2,2,,6,1,1,1,1,1,1,1,2,3,2,1,2,1,2,2,3,2,2,3,2,2,2,1,3,3,3,3,3,3,3,,1,1,2,2,3,2,3,2,2,2,2,2,1,1,1,1,1,0,0,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,,5,4,1,1,1,3,1,0,0,0,,,,,1,1,0,0,0,,0,0,0,,0,0,0,,0,0,0,,1,0,0,,1,0,0,,1,0,0,1,53,,2,2,4,3,7,4,0,1,0,0,0,0,,9,88500,4,0,0,0,1,1,1,1,1,2,1,2,1,1,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,,1,,,1,0,1,0,0,0,0,0,,0,,2,3,,2,2,2,,98108,10402,2,2,4,2,1,2,2,2,1,1,0,1,1,0.135922401,0.569338293
100192,3,1,1,1,0,0,0,0,0,1,2,4,4,0,0,0,0,1,1,2,0,0,1,0,1,0,2,0,,1,0,0,0,0,0,0,0,0,0,2,1,,,65,,,,,65,780,3.319148936,0,0,0,0,0,2,,,,,2,1,2,1,,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,1,,,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,,17,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,,0,2,1,1,2,1,1,1,5,4,2,1,0,0,0,0,0,1,0,2,3,1,0,0,0,1,1,0,0,0,0,0,0,0,,3,1,2,1,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0,,0,0,0,,1,0,0,,0,0,0,,0,0,0,,0,0,0,,1,0,0,1,30,,1,1,2,2,3,2,1,0,0,0,0,0,,2,23500,1,1,1,1,1,1,1,1,1,2,1,1,6,0,0,0,0,0,1,0,0,0,,0,1,0,0,0,0,0,0,,2,,3,0,1,0,0,0,0,0,0,,0,,2,1,,2,4,5,,98121,8002,7,2,4,1,1,1,1,1,4,1,0,2,0,1.394372952,3.697548493
100339,2,3,1,0,0,0,0,1,0,2,2,2,2,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,2,1,,,,25,,,,25,300,1.5,0,0,0,0,0,,1,,,,5,7,2,4,,1,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,4,4,1,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,2,3,3,2,2,3,4,2,3,4,4,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,4,,0,2,5,2,3,5,5,6,1,1,1,1,0,1,1,0,1,0,0,3,4,1,0,0,0,0,0,0,0,0,0,0,1,0,,1,1,,2,0,,1,0,1,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,83,0,3,4,7,5,13,7,1,0,0,0,0,0,,1,20000,1,1,1,1,1,1,1,1,1,2,1,2,1,1,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,apartment for low income seniors,2,,3,0,0,0,0,1,0,0,0,,0,,2,1,,2,3,3,,98107,3201,6,4,4,2,2,2,2,2,1,2,1,2,1,0.820728537,0.342130223
100869,3,1,1,1,0,0,0,0,0,1,2,5,4,1,0,0,1,2,1,1,1,0,1,1,1,0,1,0,,1,0,0,1,0,0,0,0,0,0,1,2,Google Fi,,65,,,35,,100,1200,0.48,0,0,0,0,0,2,,,2,,3,4,4,1,,1,1,0,0,0,0,0,1,1,0,1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,1,0,0,Not enough competition for lower prices,,,,,,,,,1,,,1,1,1,1,1,1,2,2,1,1,1,1,1,2,2,1,1,1,1,,15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3,3,3,3,3,3,3,3,3,3,,,0,2,1,1,1,1,5,1,5,1,4,5,1,1,1,1,1,0,0,3,3,2,0,1,0,0,1,0,0,0,0,0,0,0,,1,1,,2,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,41,,2,2,3,2,5,3,0,1,0,0,0,0,,15,250000,7,0,0,0,0,0,0,0,0,2,1,1,6,0,0,0,0,0,1,0,0,0,,1,0,0,0,0,0,0,0,,1,,,1,0,0,0,0,0,0,0,,0,,2,1,,2,5,7,,98118,10301,2,1,5,1,1,1,1,1,3,1,0,1,0,0.310457562,0.549847415
100961,1,1,1,1,1,0,0,0,0,1,2,8,6,2,0,0,1,4,1,2,1,0,2,2,1,0,2,0,,1,1,0,0,0,0,0,0,0,0,2,2,,,80,0,,,,80,960,,0,1,0,0,0,3,2,,,,2,2,2,9,More provider choices.,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,1,,,1,1,1,1,1,1,2,2,1,2,1,1,2,2,2,1,1,1,1,,13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3,3,3,3,2,2,3,3,3,3,3,,0,2,1,1,4,1,5,2,4,1,4,4,1,1,0,0,0,0,0,3,3,2,0,0,0,0,1,1,0,1,0,0,0,0,,2,2,,2,0,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,2,34,,1,1,2,2,3,2,0,1,0,0,0,0,,16,,,,,,,,,,,2,2,2,8,1,0,0,0,0,1,0,0,0,,0,1,0,0,0,0,0,0,,2,,3,1,0,0,0,0,0,0,0,,0,,2,1,,2,5,7,,98112,7700,3,3,6,1,1,1,1,1,3,1,0,1,0,0.01,0.01
100965,1,1,1,0,1,0,0,0,0,1,2,8,8,0,0,0,1,3,2,2,1,0,3,0,2,0,2,0,0,0,1,0,1,0,0,0,0,0,0,1,2,AT&T,,,187,,80,,267,3204,4.610071942,0,0,0,0,0,,1,,2,,2,4,3,2,,1,1,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,3,0,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,1,0,,1,1,1,0,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,0,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3,3,3,3,3,3,3,3,3,3,,,0,2,2,1,5,1,5,3,5,2,5,3,1,1,1,1,1,0,0,3,4,1,0,0,0,1,1,0,0,0,0,0,0,0,,2,2,,2,0,2,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,51,0,2,2,4,3,7,4,1,0,0,0,0,0,,7,69500,3,0,0,0,1,1,1,1,1,2,1,1,6,0,0,0,0,0,1,0,0,0,,0,1,0,0,0,0,0,0,,2,,5,0,0,0,1,0,0,0,0,,0,,1,1,,2,4,5,,98125,201,5,2,7,1,1,1,1,1,2,0,0,0,0,1.507026023,0.709050004
100968,2,1,1,1,0,0,0,0,0,1,2,2,1,1,0,0,0,2,0,0,0,0,1,1,0,0,0,0,,0,1,0,0,1,1,0,0,0,0,2,3,,SHA,,0,,,0,0,,,0,1,0,0,1,,2,,,2,1,7,4,1,,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,2,2,3,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,1,,,1,2,2,2,1,2,2,2,2,2,1,2,2,2,1,2,1,1,2,,6,1,2,2,2,2,2,2,3,3,3,2,3,2,3,2,2,2,2,2,2,2,3,2,3,3,2,2,3,2,3,,0,2,3,4,3,3,4,5,1,3,1,1,1,0,0,0,1,0,0,3,3,2,0,1,1,1,1,0,0,0,0,0,0,0,,1,1,,2,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,2,65,,3,4,5,4,10,6,0,1,0,0,0,0,,1,20000,1,1,1,1,1,1,1,1,1,2,1,1,6,0,0,0,0,0,1,0,0,0,,0,1,0,0,0,0,0,0,,3,SHA,,0,0,0,0,0,0,0,1,1,0,Disabled,2,1,,3,3,3,,98107,4702,6,4,3,2,2,2,2,2,1,1,1,0,1,0.820728537,0.024819585
100977,1,1,1,0,1,0,0,0,0,1,2,3,3,0,0,0,0,2,0,1,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,1,,,,73,,,,73,876,0.389333333,0,0,0,0,0,,2,,,,1,3,4,2,,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,1,0,,1,1,1,0,1,1,0,0,1,1,1,1,1,1,0,1,1,0,1,0,14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3,3,3,3,3,3,3,3,2,3,,,0,2,1,1,4,1,5,2,5,2,4,5,1,1,0,1,1,0,0,3,3,2,0,0,0,0,1,0,0,0,0,0,0,0,,1,1,,2,0,1,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,54,0,2,2,4,3,7,4,0,1,0,0,0,0,,14,225000,7,0,0,0,0,0,0,0,0,2,1,1,6,0,0,0,0,0,1,0,0,0,,1,0,0,0,0,0,0,0,,1,,,0,0,1,0,0,0,0,0,,0,,1,1,,2,5,7,,98125,800,5,3,8,1,1,1,1,1,3,0,0,0,0,1.569939444,0.602814696
100979,1,1,1,0,1,0,0,0,0,1,2,3,3,0,0,0,0,1,0,2,0,0,1,0,0,0,2,0,,1,0,0,0,0,0,0,0,0,0,2,1,,,55,,,,,55,660,0.48,0,0,0,0,0,2,,,,,2,7,3,2,,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,1,,,1,1,1,2,1,1,2,2,2,2,1,1,2,2,2,1,1,2,1,,10,1,1,1,1,3,3,1,1,2,3,1,1,1,1,1,2,1,2,3,3,3,3,2,3,3,2,2,3,1,,,1,1,2,2,4,4,3,2,4,2,4,4,1,1,1,0,1,0,0,3,3,1,0,0,0,0,1,1,0,0,0,0,0,0,,2,2,,2,0,0,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,2,72,,3,4,6,4,11,6,1,0,0,0,0,0,,12,137500,5,0,0,0,0,0,0,0,1,2,1,1,6,0,0,0,0,0,1,0,0,0,,1,0,0,0,0,0,0,0,,1,,,0,0,0,0,1,0,0,0,,0,,2,1,,2,4,6,,98115,2000,5,2,4,1,2,2,2,2,2,1,0,0,1,1.208158967,0.514571771
101103,1,1,1,1,0,0,0,0,0,1,2,6,6,0,0,0,0,2,2,2,0,0,2,0,2,0,2,0,0,0,1,0,1,0,0,0,0,0,0,1,2,Unspecified,,,86,,104,,190,2280,2.026666667,0,0,0,0,0,,4,,4,,2,3,2,2,,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,1,0,,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,1,0,1,0,11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3,3,3,3,3,3,3,3,3,3,,,0,2,1,1,4,1,5,1,3,1,5,2,1,1,1,0,1,0,0,2,3,3,0,1,1,1,1,0,0,1,0,0,0,0,,2,2,,2,0,0,2,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,71,0,3,4,6,4,11,6,1,0,0,0,0,0,,11,112500,5,0,0,0,0,0,0,1,1,2,1,1,6,0,0,0,0,0,1,0,0,0,,1,0,0,0,0,0,0,0,,1,,,1,0,0,0,0,0,0,0,,0,,2,1,,2,4,5,,98117,3000,6,4,6,1,1,1,1,1,2,1,0,1,0,1.412622092,0.817265929
101200,1,1,1,0,1,0,0,0,0,1,2,6,6,0,0,0,1,3,0,2,1,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,4,0,,,,,,,,,,,,0,0,0,0,,,,,,7,99,7,8,,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,2,1,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1,,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,3,1,2,3,3,2,2,4,3,3,1,1,3,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,,,0,2,3,4,4,5,3,6,2,4,2,5,1,1,0,0,1,0,0,4,3,2,0,1,1,0,0,0,0,0,0,0,0,0,,2,2,,2,0,0,2,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,68,0,3,4,5,4,10,6,1,0,0,0,0,0,,11,112500,5,0,0,0,0,0,0,1,1,2,1,1,6,0,0,0,0,0,1,0,0,0,,1,0,0,0,0,0,0,0,,1,,,0,0,0,0,1,0,0,0,,0,,2,1,,2,5,7,,98103,5100,4,5,4,2,2,1,2,2,1,1,0,0,1,1.368020162,0.593322886
101266,1,1,1,0,1,0,0,0,0,1,2,9,8,1,0,0,0,4,1,4,0,0,3,1,1,0,4,0,,0,0,0,1,1,0,0,0,0,0,3,2,T-Mobile,Connect4all,,,,40,15,55,660,,0,0,0,0,0,,,,1,2,2,1,1,1,,1,1,0,1,0,0,0,1,1,0,0,0,0,2,1,3,2,2,1,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,1,,,1,1,2,2,1,2,2,1,1,2,1,1,1,2,2,1,1,1,1,,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3,3,3,3,2,3,3,3,3,3,3,,0,2,2,1,5,1,5,1,5,3,1,5,1,1,0,0,0,0,0,3,3,3,0,1,0,1,1,0,0,1,0,0,0,0,,2,2,,2,0,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,2,45,,2,2,3,3,6,4,0,0,0,0,1,0,,16,,,,,,,,,,,3,,,9,0,0,0,0,0,0,0,1,0,,0,1,0,0,0,0,0,0,,2,,3,1,0,0,0,0,0,0,0,,0,,2,1,,2,4,5,,98105,5306,4,1,7,1,1,1,1,1,2,1,0,2,0,0.01,0.01
101438,1,1,2,0,0,0,0,1,0,4,1,,,,0,0,0,0,0,0,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,5,0,,,,,,,,,,,,0,0,0,0,,,,,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4,4,4,4,1,0,1,0,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,3,3,3,3,3,3,3,3,3,3,,,0,2,5,6,6,6,6,6,1,6,6,6,0,0,0,0,0,1,0,3,4,1,1,1,1,0,0,0,0,0,1,0,0,0,,1,1,,2,0,,1,0,1,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,80,0,3,4,7,5,13,7,1,0,0,0,0,0,,1,20000,1,1,1,1,1,1,1,1,1,2,1,1,6,0,0,0,0,0,1,0,0,0,,0,1,0,0,0,0,0,0,Seattle Senior Housing Program,2,,3,0,0,0,0,1,0,0,0,,0,,2,1,,1,3,3,,98119,6702,7,4,1,2,2,2,2,2,1,3,2,3,1,1.359413462,0.906947021
101461,1,1,1,0,1,0,0,0,0,1,2,11,8,3,0,0,0,6,1,4,0,0,4,2,1,0,3,1,,0,1,0,1,0,0,0,0,0,0,1,2,Verizon,,,35,,0,,35,420,0.24,0,0,0,1,0,,1,,1,,2,5,3,2,,1,1,1,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,1,,,1,1,1,2,1,1,1,1,1,2,1,1,2,2,2,1,1,1,1,,14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,4,3,3,3,3,3,3,3,2,3,3,3,,0,2,2,1,4,1,5,3,3,2,2,3,1,1,1,1,1,0,0,3,3,2,0,0,0,0,0,1,0,0,0,0,0,0,,4,2,2,1,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0,,0,0,0,,0,0,0,,1,0,0,,1,0,0,,0,0,0,,1,0,0,1,46,,2,2,3,3,6,4,0,1,0,0,0,0,,13,175000,6,0,0,0,0,0,0,1,1,2,1,1,6,0,0,0,0,0,1,0,0,0,,1,0,0,0,0,0,0,0,,1,,,1,0,0,0,0,0,0,0,,0,,2,1,,2,4,5,,98107,3201,6,4,7,1,1,2,1,2,3,1,0,0,1,0.540984121,0.459244393
